text,intents,slots
i can't get into my account and the stupid pin doesn't work,"['pin', 'account', 'wrong_notworking_notshowing']",
"That's right, I am coming in 3 days with my 3 sons and our dog.","['affirm', 'pets']","{'date_from': {'value': 'in 3 days', 'span': [26, 35], 'norm_value': {'day': 18, 'month': 3, 'year': 2022}}, 'kids': {'value': '3', 'span': [44, 45], 'norm_value': 3}, 'adults': {'value': 'I', 'span': [14, 15], 'norm_value': 1}}"
i don't want to talk to you!,['handoff'],
How much less did I spend on holiday on the current year?,"['transfer_payment_deposit', 'how_much', 'less_lower_before']","{'date_period': {'value': 'current year', 'span': [44, 56], 'norm_values': {'type': 'absolute', 'from': {'day': 1, 'month': 1, 'year': 2022}, 'to': {'day': 31, 'month': 12, 'year': 2022}}}, 'shopping_category': {'value': 'holiday', 'span': [29, 36], 'norm_value': 'holiday'}}"
I want to book a king suite for the night of the 25th,"['make_open_apply_setup_get_activate', 'booking']","{'date_period': {'value': 'the night', 'span': [32, 41], 'norm_values': {'type': 'relative', 'days': 1}}, 'date_from': {'value': '25th', 'span': [49, 53], 'norm_value': {'day': 25, 'month': 3, 'year': 2022}}}"
How can I find out the list of people who paid money to my account previous month?,"['how', 'transfer_payment_deposit', 'account']","{'date_period': {'value': 'previous month', 'span': [67, 81], 'norm_values': {'type': 'absolute', 'from': {'day': 1, 'month': 2, 'year': 2022}, 'to': {'day': 28, 'month': 2, 'year': 2022}}}}"
having a jacuzzi is definitely more than what I expected,['room_ammenities'],
14 April,,"{'date': {'value': '14 April', 'span': [0, 8], 'norm_value': {'day': 14, 'month': 4, 'year': 2022}}}"
we have a restaurant booking listed under colisha for tomorrow night!,"['booking', 'restaurant', 'existing']","{'date': {'value': 'tomorrow', 'span': [54, 62], 'norm_value': {'day': 16, 'month': 3, 'year': 2022}}, 'time_period': {'value': 'night', 'span': [63, 68], 'norm_values': {'type': 'absolute', 'from': {'hour': 18, 'minute': 0}, 'to': {'hour': 0, 'minute': 0}}}, 'person_name': {'value': 'colisha', 'span': [42, 49], 'norm_value': 'colisha'}}"
What additional my salary expenses have I made with m and s  in the last 2 months,"['transfer_payment_deposit', 'request_info', 'more_higher_after']","{'date_period': {'value': 'last 2 months', 'span': [68, 81], 'norm_values': {'type': 'absolute', 'from': {'day': 1, 'month': 1, 'year': 2022}, 'to': {'day': 1, 'month': 3, 'year': 2022}}}, 'company_name': {'value': 'm and s', 'span': [52, 59], 'norm_value': 'm and s'}, 'shopping_category': {'value': 'my salary', 'span': [16, 25], 'norm_value': 'my salary'}}"
"yep, I asked for that numerous times","['affirm', 'request_info']",
Has the price of family gone up,"['more_higher_after', 'request_info']","{'shopping_category': {'value': 'family', 'span': [17, 23], 'norm_value': 'family'}}"
double room for a 3 night mid week getaway,,"{'date_period': {'value': '3 night', 'span': [18, 25], 'norm_values': {'type': 'relative', 'days': 3}}, 'rooms': {'value': 'double room', 'span': [0, 11], 'norm_value': 1}}"
Can I kill my savings account? I haven't used it since Nov the 17th,"['cancel_close_leave_freeze', 'savings', 'account']","{'date_from': {'value': 'Nov the 17th', 'span': [55, 67], 'norm_value': {'day': 17, 'month': 11, 'year': 2022}}}"
I hate this bank so much! I want to close my savings account right now,"['cancel_close_leave_freeze', 'savings', 'account']",
does a loan interfere with my direct debits?,"['loan', 'direct_debit', 'request_info']",
